CGA-AracatubaAracatuba-TMS;10.226.0.1
CGA-BauruBauru-TMS;10.226.2.1
CGA-CampoLimpoCampoLimpo-TMS;10.226.6.1
CGA-CamposCampos-TMS;10.226.8.1
CGA-CuiabaCuiaba-TMS;10.226.10.1
CGA-DouradosDourados-TMS;10.226.12.1
CGA-DuqueDuquedeCaxias-TMS;10.226.14.1
CGA-GuadalupeGuadalupe-TMS;10.226.16.1
CGA-ItuItu-TMS;10.226.18.1
CGA-LondrinaLondrina-TMS;10.226.20.1
CGA-MaringaAvenidaMaringa-TMS;10.226.22.1
CGA-MaringaCatuaiMaringa-TMS;10.226.24.1
CGA-MauaMaua-TMS;10.226.26.1
CGA-PatioCianeSorocaba-TMS;10.226.28.1
CGA-PiracicabaPiracicaba-TMS;10.226.30.1
CGA-PontaGrossaPontaGrossa-TMS;10.226.32.1
CGA-PortoVelhoPortoVelho-TMS;10.226.34.1
CGA-RioBrancoRioBranco-TMS;10.226.36.1
CGA-SaoCarlosSaoCarlos-TMS;10.226.38.1
CGA-SaoJRPSaoJosedoRioPreto-TMS;10.226.40.1
CGA-SerraSerra-TMS;10.226.42.1
CGA-ShoppingCidadeSorocaba-TMS;10.226.44.1
CGA-TaboaoTaboao-TMS;10.226.46.1
CGA-CampinasCampinas-TMS;10.226.48.1
CSC-CineSerclaBigContagem-TMS;10.226.192.1
CSC-CineSerclaBoulevardCampinaGrande-TMS;10.226.194.1
CSC-CaucaiaFortaleza-TMS;10.226.196.1
CSC-GVShoppingGovernadorValadares-TMS;10.226.198.1
CSC-PatioMix2TeixeradeFreitas-TMS;10.226.200.1
CSC-CineSerclaNilopolisNilopolis-TMS;10.226.202.1
CSC-CineserclaNorteBeloHorizonte-TMS;10.226.204.1
CSC-CineSerclaOsascoPlazzaOsasco-TMS;10.226.206.1
CSC-CineSerclaPatioMixItaguai-TMS;10.226.208.1
CSC-ShoppingPremioAracaju-TMS;10.226.210.1
CSC-SpazioOuroVerdeCampinas-TMS;10.226.212.1
CSC-CineSerclaTambiaJoaoPessoa-TMS;10.226.214.1
CSC-CineSerclaMontserratSerra-TMS;10.226.216.1
CSC-CineSerclaLinharesLinhares-TMS;10.226.218.1
CRT-CineartPonteioBeloHorizonte-TMS;10.227.0.1
CRT-CineartShoppingContagemContagem-TMS;10.227.2.1
CRT-MultiplexBetimBetim-TMS;10.227.4.1
CRT-MultiplexBoulevardBeloHorizonte-TMS;10.227.6.1
CRT-MultiplexCidadeBeloHorizonte-TMS;10.227.8.1
CRT-MultiplexDelReyBeloHorizonte-TMS;10.227.10.1
CRT-MultiplexItauContagem-TMS;10.227.12.1
CRT-MultiplexMinasShoppingBeloHorizonte-TMS;10.227.14.1
CRT-MultiplexParagemBeloHorizonte-TMS;10.227.16.1
CRT-ViaShoppingBeloHorizonte-TMS;10.227.18.1
GNC-GNCGartenJOINVILLE-TMS;10.227.64.1
GNC-GNCPraiadeBelasPortoAlegre-TMS;10.227.66.1
GNC-GNCBlumenauBlumenau-TMS;10.227.68.1
GNC-GNCCamboriuCamboriu-TMS;10.227.70.1
GNC-GNCCaixasCaixasdoSul-TMS;10.227.72.1
GNC-GNCCriciumaCriciuma-TMS;10.227.74.1
GNC-GNCIguatemiPortoAlegre-TMS;10.227.76.1
GNC-GNCLindoiaPortoAlegre-TMS;10.227.78.1
GNC-GNCMoinhosPortoAlegre-TMS;10.227.80.1
GNC-MuellerJoinville-TMS;10.227.82.1
ETO-IpanemaRiodeJaneiro-TMS;10.227.132.1
ETO-RioRiodeJaneiro-TMS;10.227.134.1
ETO-VivoGaveaRiodeJaneiro-TMS;10.227.136.1
AFA-CineSaoMatheusSaoMatheus-TMS;10.227.160.1
AFA-CineShoppingCachoeiroCachoeirodoItapemerin-TMS;10.227.162.1
AFA-CineSumareSumare-TMS;10.227.164.1
AFA-MultiplexDivinopolisDivinopolis-TMS;10.227.166.1
CSW-AngradosReisAngradosReis-TMS;10.227.192.1
CSW-BarradoPiraiBarradoPirai-TMS;10.227.194.1
CSW-BarraMansaBarraMansa-TMS;10.227.196.1
CSW-MultiplexCadimaCadima-TMS;10.227.198.1
CSW-MultiplexFriburgoNovaFriburgo-TMS;10.227.200.1
CSW-ResendeResende-TMS;10.227.202.1
CSW-MultiplexTerezopolisTerezopolis-TMS;10.227.204.1
CSW-MultiplexVoltaRedodndaVoltaRedonda-TMS;10.227.206.1
CMN-CaxambuCaxambu-TMS;10.227.224.1
CPZ-ShoppingCinePlazaItumbiara-TMS;10.228.16.1
CMM-CineMarajaPedroLeopoldo-TMS;10.228.24.1
CBS-Cine14BisGuaxupe-TMS;10.228.32.1
CGS-CineGacemsVoltaRedonda-TMS;10.228.40.1
CRS-3RiosTresRios-TMS;10.228.48.1
AMM-PolyVideoOtacilioCosta-TMS;10.228.56.1
CAV-CineAvenidaLeme-TMS;10.228.64.1
CSE-CineRenatoAragaoSobral-TMS;10.228.72.1
CBH-CineBauhausPetropolis-TMS;10.228.80.1
JDS-CinemaisBomJesusBomJesusdoItaboana-TMS;10.228.88.1
CAM-CambuiCambui-TMS;10.228.96.1
LCG-TopazioShoppingJaraguaIndaiatuba-TMS;10.228.120.1
LCG-TopazioPoloShoppingIndaiatuba-TMS;10.228.122.1
ESM-CineEsmeraldaMarilia-TMS;10.228.128.1
SEM-CineAstonParanavai-TMS;10.228.136.1
GRA-CineGracherBrusque-TMS;10.228.144.1
RSM-CineVitoriaSantaBarbaraSantaBarbara-TMS;10.228.152.1
CEB-CentrodeEntretenimientoBalsasBalsas-TMS;10.228.168.1
GZR-CineVIPRondonopolis-TMS;10.228.184.1
MAX-CineMaxBeltraoFranciscoBeltrao-TMS;10.228.192.1
SAM-CineClacitaItapipoca-TMS;10.228.200.1
ECM-EmpresacinemaIvaiporaIvaipora-TMS;10.228.216.1
PPS-CinePenapolisPenapolis-TMS;10.228.224.1
RCS-CineRTRemigio-TMS;10.228.232.1
PAR-CineEstacaoBelem-TMS;10.228.248.1
CRG-CineRitzGuarapariGuarapari-TMS;10.229.0.1
CPC-CineCulturaBrasilia-TMS;10.229.8.1
CTL-BiriguiBirigui-TMS;10.229.16.1
CCM-CineSaoCarlosSaoPaulo-TMS;10.229.40.1
ECA-CinemaxItabira-TMS;10.229.56.1
IPC-ImperialParacambiParacambi-TMS;10.229.64.1
MQC-MeqeCineTupa-TMS;10.229.96.1
PPM-PampulhaMallBeloHorizonte-TMS;10.229.112.1
SFC-CinemaxxItaperunaItaperuna-TMS;10.229.128.1
VCC-CasarioShoppingVassouras-TMS;10.229.144.1
CMC-CineSantaHelenaTatui-TMS;10.229.162.1
CCC-BomSucessoGuarulhos-TMS;10.229.176.1
CCC-MultiplexPenapolisPenapolis-TMS;10.229.178.1
CCC-ParaupebasParaupebas-TMS;10.229.180.1
IBI-IbiturunaCinemasMontesClaros-TMS;10.229.192.1
MRT-BentoGoncalvesBentoGoncalves-TMS;10.229.208.1
MRT-ErechimErechim-TMS;10.229.210.1
MRT-MarcoPoloMarcoPolo-TMS;10.229.212.1
PMC-MoviemaxEldoradoGaranhuns-TMS;10.229.224.1
PMC-MoviemaxRosaeSilvaRecife-TMS;10.229.226.1
PMC-MoviemaxRoyalSaoLourencodaMata-TMS;10.229.228.1
